Date,Open,High,Low,Close,Adj Close,Volume
2013-04-30,347,347.975006,338.399994,341.149994,321.884064,6276136
2013-05-02,342.200012,347,341.149994,346.25,326.696045,6151634
2013-05-03,346.299988,347,339.325012,340.475006,321.247223,6143292
2013-05-06,339.5,339.649994,334.975006,337.75,318.676086,3836730
2013-05-07,338.149994,344.950012,336.25,344.024994,324.59671,5549232
2013-05-08,344.5,349.75,343.25,348.575012,328.88974,4326978
2013-05-09,349.524994,349.75,344.100006,345.024994,325.540253,2261680
2013-05-10,344.350006,352.450012,344.325012,351.674988,331.814697,6956628
2013-05-13,352.5,355.725006,345.399994,346.375,326.813995,4796986
2013-05-14,345.024994,347.450012,342.549988,344.524994,325.068451,3326838
2013-05-15,346.75,358,345.674988,357.424988,337.239929,7086740
2013-05-16,356,362,355.5,361.399994,340.990509,5830308
2013-05-17,361.25,361.25,354.600006,359.450012,339.150635,6409926
2013-05-20,359.75,362,356.075012,357.25,337.07489,2920804
2013-05-21,357,359,352.524994,353.899994,333.914063,4603250
2013-05-22,353.75,356,349,351.725006,331.861877,2706056
2013-05-23,349.5,353.225006,347.149994,349.299988,329.573822,3952624
2013-05-24,352.875,352.875,347.149994,350.674988,330.871155,4132120
2013-05-27,349.299988,358.5,349.299988,357.524994,337.33432,4497604
